J1,J2,J3
-0.535903,0.521926,-0.560697
-0.306474,0.874606,-0.938729
0.000000,1.004051,-1.077310
0.306951,0.874176,-0.938267
0.537055,0.518944,-0.557497
0.630336,0.032650,-0.035120
0.559830,-0.457189,0.492409
0.340928,-0.824156,0.888517
0.030045,-0.974478,1.051005
-0.289454,-0.869242,0.937238
-0.531009,-0.533780,0.575018
-0.630079,-0.052776,0.056781
-0.561738,0.448736,-0.482161
-0.345670,0.836143,-0.897533
-0.039177,1.002062,-1.075181
0.277975,0.898835,-0.964674
0.522815,0.554318,-0.595445
0.629263,0.063730,-0.068545
0.565825,-0.438937,0.472728
0.346518,-0.818641,0.882559
0.030045,-0.974478,1.051005
-0.295365,-0.864557,0.932175
-0.538064,-0.516484,0.556360
-0.630717,-0.021744,0.023392
-0.549295,0.485742,-0.521873
-0.317845,0.864085,-0.927461
0.000000,1.004051,-1.077310
0.318316,0.863639,-0.926983
0.550368,0.482689,-0.518597
0.630616,-0.029507,0.031744
0.533387,-0.528041,0.568827
0.283014,-0.874209,0.942606
-0.050040,-0.972559,1.048930
-0.368934,-0.795196,0.857228
-0.580572,-0.389309,0.419224
-0.624587,0.133465,-0.143524
-0.490289,0.624906,-0.671148
-0.217373,0.941020,-1.009841
0.116934,0.986199,-1.058203
0.418852,0.745477,-0.800396
0.602257,0.290523,-0.312290
0.612030,-0.243838,0.262474
0.441673,-0.701902,0.756468
0.138825,-0.952218,1.026935
-0.206474,-0.923087,0.995440
-0.489630,-0.621461,0.669629
-0.625585,-0.132096,0.142150
-0.575364,0.403419,-0.433518
-0.355870,0.825073,-0.885675
-0.032382,1.002692,-1.075856
0.300979,0.879512,-0.943983
0.546719,0.492971,-0.529630
0.630467,-0.037698,0.040557
0.523562,-0.551189,0.593799
0.255108,-0.894140,0.964149
-0.093437,-0.965059,1.040820
-0.413117,-0.742023,0.799793
-0.603971,-0.289266,0.311411
-0.608129,0.258789,-0.278201
-0.426553,0.734242,-0.788356
-0.115863,0.986527,-1.058554
0.230109,0.933149,-1.001415
0.507026,0.590160,-0.633887
0.629105,0.067181,-0.072257
0.555171,-0.470742,0.507024
0.304655,-0.856945,0.923949
-0.044490,-0.973188,1.049610
-0.379663,-0.783175,0.844243
-0.592353,-0.343231,0.369561
-0.615513,0.211982,-0.227911
-0.444136,0.707155,-0.759324
-0.133746,0.980635,-1.052248
0.218652,0.940253,-1.009020
0.503259,0.598251,-0.642565
0.629085,0.067612,-0.072720
0.552389,-0.478592,0.515490
0.294136,-0.865541,0.933238
-0.062513,-0.970874,1.047107
-0.398670,-0.760510,0.819760
-0.602025,-0.299086,0.321992
-0.606648,0.267166,-0.287201
-0.413519,0.753048,-0.808508
-0.086842,0.994241,-1.066811
0.268148,0.906512,-0.972895
0.537055,0.518944,-0.557497
0.630493,-0.036405,0.039166
0.513630,-0.573190,0.617537
0.221907,-0.914663,0.986333
-0.146684,-0.949461,1.023954
-0.464998,-0.665084,0.716717
-0.623749,-0.152532,0.164150
-0.570785,0.419297,-0.450563
-0.326518,0.855718,-0.918499
0.026399,1.003148,-1.076344
0.371030,0.807746,-0.867114
0.592127,0.337967,-0.363245
0.612363,-0.241758,0.260233
0.420408,-0.732249,0.789238
0.079932,-0.967887,1.043877
-0.289454,-0.869242,0.937238
-0.556218,-0.467740,0.503787
-0.627051,0.102519,-0.110254
-0.479806,0.645199,-0.692907
-0.167589,0.967049,-1.037705
0.202217,0.949731,-1.019167
0.503259,0.598251,-0.642565
0.630138,0.039990,-0.043015
0.534419,-0.525522,0.566109
0.245922,-0.900156,0.970651
-0.132848,-0.954208,1.029087
-0.463308,-0.667889,0.719745
-0.625041,-0.138490,0.149033
-0.561738,0.448736,-0.482161
-0.298821,0.881408,-0.946013
0.069553,0.997769,-1.070587
0.413931,0.752469,-0.807888
0.611766,0.236923,-0.254710
0.588761,-0.358035,0.385515
0.348605,-0.816550,0.880300
-0.022537,-0.974951,1.051516
-0.385623,-0.776261,0.836774
-0.603971,-0.289266,0.311411
-0.597861,0.312067,-0.335430
-0.372572,0.805922,-0.865160
-0.011978,1.003865,-1.077111
0.353389,0.827808,-0.888605
0.590504,0.344916,-0.370706
0.609263,-0.260433,0.280350
0.397808,-0.761576,0.820912
0.033102,-0.974247,1.050755
-0.344892,-0.820259,0.884307
-0.589747,-0.354043,0.381213
-0.608996,0.253753,-0.272792
-0.398481,0.773509,-0.830433
-0.039177,1.002062,-1.075181
0.335109,0.847128,-0.909299
0.584519,0.369295,-0.396884
0.612030,-0.243838,0.262474
0.402102,-0.756220,0.815127
0.033102,-0.974247,1.050755
-0.349530,-0.815617,0.879291
-0.593578,-0.338008,0.363931
-0.604497,0.278864,-0.299767
-0.381322,0.795357,-0.853841
-0.011978,1.003865,-1.077111
0.362373,0.817771,-0.877853
0.597861,0.312067,-0.335430
0.599842,-0.309686,0.333412
0.362371,-0.802288,0.864891
-0.022537,-0.974951,1.051516
-0.398670,-0.760510,0.819760
-0.612692,-0.239676,0.257991
-0.580309,0.385416,-0.414192
-0.317845,0.864085,-0.927461
0.069553,0.997769,-1.070587
0.430160,0.728851,-0.782577
0.620986,0.169002,-0.181722
0.561730,-0.451507,0.486282
0.271278,-0.882902,0.952002
-0.132848,-0.954208,1.029087
-0.481670,-0.636149,0.685482
-0.630079,-0.052776,0.056781
-0.519735,0.561570,-0.603224
