J1,J2,J3
1.209916,0.478051,0.323551
1.015332,0.979624,0.703876
0.697655,1.366923,0.996747
0.294507,1.591902,1.166552
-0.145549,1.625771,1.192094
-0.568799,1.462951,1.069254
-0.922957,1.122183,0.811758
-1.163696,0.644550,0.449932
-1.260293,0.088641,0.027464
-1.199659,-0.476567,-0.403559
-0.988252,-0.980225,-0.788912
-0.651620,-1.358484,-1.079107
-0.231527,-1.562637,-1.236013
0.219070,-1.565523,-1.238232
0.642643,-1.365334,-1.084369
0.984479,-0.986273,-0.793546
1.199829,-0.475898,-0.403048
1.259871,0.100596,0.036564
1.155688,0.668512,0.468109
0.899749,1.153247,0.835254
0.524656,1.490154,1.089785
0.079215,1.633375,1.197828
-0.377784,1.562387,1.144288
-0.785303,1.285237,0.935035
-1.088278,0.837897,0.596528
-1.245155,0.279743,0.172857
-1.233706,-0.314231,-0.279610
-1.054319,-0.863443,-0.699454
-0.730321,-1.292620,-1.028529
-0.305201,-1.542151,-1.220259
0.163031,-1.576487,-1.246664
0.609676,-1.389408,-1.102862
0.972322,-1.005360,-0.808174
1.199659,-0.476567,-0.403559
1.258853,0.123790,0.054218
1.140422,0.711471,0.500692
0.859928,1.202910,0.872807
0.456209,1.527175,1.117722
-0.013761,1.636469,1.200161
-0.482774,1.513527,1.107424
-0.883005,1.174665,0.851451
-1.155908,0.667867,0.467620
-1.260900,0.066129,0.010325
-1.181520,-0.542975,-0.454300
-0.928192,-1.069990,-0.857717
-0.537139,-1.436704,-1.139201
-0.065476,-1.587820,-1.255381
0.416963,-1.499478,-1.187450
0.837948,-1.183276,-0.944606
1.133753,-0.685098,-0.562963
1.258922,-0.078794,-0.100064
1.193390,0.544483,0.373992
0.945875,1.089812,0.787269
0.553023,1.472985,1.076827
0.074270,1.633761,1.198119
-0.416963,1.545725,1.131718
-0.844510,1.221007,0.886489
-1.141361,0.708923,0.498759
-1.260293,0.088641,0.027464
-1.181520,-0.542975,-0.454300
-0.916176,-1.086437,-0.870328
-0.505059,-1.455284,-1.153480
